S.No.,Company,Type,Rating,Reviewers,Age,Highly_Ratedfor,Critically_Ratedfor
3231,Eastman Chemical Company,Chemicals,4.3,235,74,"Work Life Balance, Company Culture, Job Security",None
3232,Thyssenkrupp Industrial Solutions,Industrial Machinery,4.1,235,165,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
3233,Smaaash Entertainment,Sports & Recreation,3.7,235,15,"Job Security, Promotions / Appraisal, Work Satisfaction",None
3234,Algonomy,Software Product,4,235,20,"Work Life Balance, Salary & Benefits, Work Satisfaction",None
3235,Wagh Bakri Tea Group,Beverage,4.3,235,109,"Job Security, Salary & Benefits, Work Life Balance",None
3236,Moody's Analytics,Analytics & KPO,3.7,235,17,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
3237,Columbia Petro Chem,Oil & Gas,4.3,235,64,"Work Life Balance, Work Satisfaction, Company Culture",None
3238,Prism Johnson Limited - RMC (India) Division,Building Material,4.1,235,28,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
3239,Mahindra Last Mile Mobility,Automobile,3.9,235,30,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Company Culture"
3240,Sterling Tools,Automobile,4,234,45,"Skill Development / Learning, Job Security",Promotions / Appraisal
3241,BridgeLabz Solutions,EdTech,3.4,234,8,"Promotions / Appraisal, Job Security, Salary & Benefits",None
3242,Laser Power & Infra,Electrical Equipment,3.4,234,36,"Job Security, Promotions / Appraisal, Salary & Benefits",None
3243,Oriflame,Beauty & Personal Care,3.9,234,57,"Company Culture, Work Life Balance",Promotions / Appraisal
3244,Delhi Duty Free Services,Retail,4.1,234,14,"Salary & Benefits, Work Life Balance, Skill Development / Learning",None
3245,Burns & McDonnell,Engineering & Construction,4.4,234,126,"Company Culture, Job Security, Work Life Balance",None
3246,Cordova Publication,Printing & Publishing,3.5,234,15,"Job Security, Promotions / Appraisal, Company Culture",None
3247,Danfoss Power Solutions,Power,4.1,234,39.39854522,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
3248,Spm Autocomp,Auto Components,3.7,234,29,"Job Security, Salary & Benefits, Company Culture",None
3249,ESAB,Industrial Machinery,4.2,234,37,"Job Security, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
3250,Kubota Agricultural Machinery India,Agriculture,4.2,234,16,"Company Culture, Job Security, Work Life Balance",None
3251,Sj Contracts,Engineering & Construction,4.4,234,34,"Job Security, Skill Development / Learning, Salary & Benefits",None
3252,NACL Industries,Agro Chemicals,4.3,234,31,"Job Security, Work Life Balance, Company Culture",None
3253,Mahagun India,Real Estate,3.5,234,29,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",None
3254,Samsung Display,Electronics Manufacturing,3.9,234,5,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
3255,kipi.bi,IT Services & Consulting,4.5,234,39.39854522,"Skill Development / Learning, Company Culture, Job Security",None
3256,MIOT INTERNATIONAL,Healthcare,3.8,234,25,"Promotions / Appraisal, Job Security, Salary & Benefits",None
3257,Nobel Hygiene,Healthcare,3.7,234,24,"Promotions / Appraisal, Job Security, Work Satisfaction",None
3258,Rainbow Childrens Hospital,Healthcare,4.1,233,25,"Skill Development / Learning, Company Culture, Work Life Balance",None
3259,VVF,FMCG,3.7,233,85,Job Security,Promotions / Appraisal
3260,Speridian Technologies,IT Services & Consulting,3.7,233,22,"Promotions / Appraisal, Salary & Benefits",None
3261,Huntsman International,Chemicals,4.3,233,54,"Work Life Balance, Company Culture, Salary & Benefits",None
3262,Springer Nature,Printing & Publishing,3.9,233,18,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
3263,Azure Power,Power,3.9,233,16,Salary & Benefits,None
3264,Anunta Technology Management Services,IT Services & Consulting,3.6,233,12,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",None
3265,Creative Hands HR Consultancy,Recruitment,4,233,12,"Work Satisfaction, Skill Development / Learning, Work Life Balance",None
3266,Theobroma Foods,Food Processing,3.9,233,20,"Promotions / Appraisal, Job Security, Skill Development / Learning",None
3267,Acmegrade,Unknown,4.1,233,39.39854522,"Company Culture, Skill Development / Learning, Work Life Balance",None
3268,VFISLK,IT Services & Consulting,4,233,39.39854522,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
3269,Intelliswift Software,Software Product,3.5,233,23,"Promotions / Appraisal, Job Security, Work Satisfaction",None
3270,Accurex Biomedical,Medical Equipment,4.6,232,40,"Skill Development / Learning, Company Culture, Work Life Balance",None
3271,Mediamint,Marketing & Advertising,3.8,232,14,"Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
3272,ISMT,Iron & Steel,3.8,232,47,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
3273,Pitambari Products,FMCG,4.2,232,38,"Work Life Balance, Company Culture, Salary & Benefits",None
3274,IB Group,Food Processing,3.9,232,39,Promotions / Appraisal,None
3275,Koenig Solutions,Education & Training,4,232,31,"Skill Development / Learning, Work Satisfaction, Work Life Balance",None
3276,Can-Pack,Packaging,4.3,232,32,"Skill Development / Learning, Work Life Balance, Company Culture",None
3277,Samsung SDS,IT Services & Consulting,3.5,232,39,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal",None
3278,Hofincons Infotech & Industrial Services,Industrial Machinery,3.9,232,39.39854522,"Promotions / Appraisal, Salary & Benefits",None
3279,Akbar Travels,Travel & Tourism,4.3,232,46,"Skill Development / Learning, Work Satisfaction, Company Culture",None
3281,BDR Pharmaceuticals International,Pharma,3.9,232,22,Job Security,Promotions / Appraisal
3282,Pfizer Healthcare india pvt lit,Pharma,4.1,232,15,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
3283,Tata Digital,Internet,3.2,232,5,"Promotions / Appraisal, Work Satisfaction, Company Culture",None
3284,Nippon Koei India,Engineering & Construction,4.7,231,16,"Company Culture, Salary & Benefits, Work Life Balance",None
3285,DigiCall Teleservices,Telecom,4,231,29,Promotions / Appraisal,None
3286,Murugappa Group,Agro Chemicals,4,231,124,"Job Security, Work Satisfaction, Salary & Benefits",None
3287,GSPANN Technologies,IT Services & Consulting,4,231,20,"Salary & Benefits, Work Life Balance",None
3288,Icertis,Software Product,3.6,231,15,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",None
3289,Studds Accessories,Auto Components,3.1,231,41,"Job Security, Company Culture, Work Satisfaction",None
3290,The Louis Berger Group,Engineering & Construction,4.4,231,139,"Company Culture, Work Life Balance, Work Satisfaction",None
3291,VSynergize Outsourcing,Marketing & Advertising,4,231,23,"Salary & Benefits, Work Life Balance, Skill Development / Learning",None
3292,Robosoft Technologies,IT Services & Consulting,3.5,231,28,"Promotions / Appraisal, Job Security, Salary & Benefits",None
3293,Entigrity Solutions,Recruitment,4.2,231,9,"Company Culture, Skill Development / Learning, Salary & Benefits",None
3294,Madras Radiators and Pressings Limited,Auto Components,4,231,61,"Skill Development / Learning, Work Satisfaction, Work Life Balance",None
3295,Nimbus Harbor Facilities Management,Facility Management Services,4,231,20,None,None
3296,Finolex Ind,Building Material,4,231,39.39854522,"Job Security, Work Life Balance",Promotions / Appraisal
3297,Knowledgeworks Global,Printing & Publishing,3.1,231,39.39854522,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",None
3298,MSPL,Metals & Mining,4.2,230,63,"Work Life Balance, Company Culture, Job Security",None
3299,Seven Hills Hospital,Healthcare,3.9,230,38,"Job Security, Promotions / Appraisal",None
3301,Bhandari Automobiles,Automobile,3.8,230,46,Job Security,"Promotions / Appraisal, Salary & Benefits"
3302,Rosenberger Electronic,Electronics Manufacturing,4.1,230,66,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal
3304,Emblix Solutions,IT Services & Consulting,4.9,230,12,"Company Culture, Skill Development / Learning, Work Satisfaction",None
3305,DEC Infra,Real Estate,3.6,230,56,"Promotions / Appraisal, Job Security, Company Culture",None
3306,Walchandnagar Industries,Industrial Machinery,4,229,116,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Salary & Benefits
3307,CEVA Logistics,Logistics,3.9,229,18,Work Life Balance,Promotions / Appraisal
3308,Cochin Shipyard,Ports & Shipping,4.3,229,52,"Company Culture, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal
3309,Mukand Limited,Iron & Steel,3.7,229,87,"Promotions / Appraisal, Salary & Benefits, Job Security",None
3310,Yashi Consulting Services,IT Services & Consulting,4,229,19,"Skill Development / Learning, Company Culture, Work Satisfaction",None
3311,Arabian Construction Company,Engineering & Construction,4,229,57,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal
3312,Powerica,Industrial Machinery,3.7,229,40,"Company Culture, Work Satisfaction, Skill Development / Learning",None
3313,Imarticus Learning,EdTech,4.1,229,12,"Company Culture, Skill Development / Learning, Work Satisfaction",None
3314,Holisol Logistics,Logistics,3.8,229,15,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
3315,RV Solutions,IT Services & Consulting,4,229,16,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal
3316,Sembcorp Energy India,Power,4.2,229,16,"Job Security, Work Life Balance, Company Culture",None
3317,Starbucks,Hospitality,4.3,229,53,"Job Security, Company Culture, Skill Development / Learning",None
3318,MeritNation,EdTech,3.5,228,36,"Job Security, Promotions / Appraisal, Work Satisfaction",None
3319,Sgs Tekniks Manufacturing,Electronics Manufacturing,3.8,228,34,"Job Security, Skill Development / Learning, Company Culture",None
3320,Tudip Technologies,IT Services & Consulting,3.4,228,14,"Work Life Balance, Work Satisfaction, Job Security",None
3321,Efftronics Systems,Electronics Manufacturing,3.6,228,39,"Skill Development / Learning, Job Security","Salary & Benefits, Promotions / Appraisal, Work Life Balance"
3322,Don Bosco School,Education & Training,4.1,228,44,"Skill Development / Learning, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
3323,Jaypee Hospital,Healthcare,4.2,228,10,"Work Life Balance, Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
3324,Wallace Pharmaceuticals,Pharma,3.9,228,56,"Promotions / Appraisal, Job Security, Skill Development / Learning",None
3325,Mfar Constructions,Engineering & Construction,3.8,228,28,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Job Security"
3326,Kalkine,Financial Services,4,228,10,"Work Life Balance, Salary & Benefits, Company Culture",None
3327,Lalitha Jewellery,Jewellery,4.1,228,41,"Skill Development / Learning, Work Life Balance, Work Satisfaction",None
3328,Indiabulls Real Estate,Real Estate,4.6,228,18,"Work Life Balance, Work Satisfaction, Company Culture",None
3330,Vem Technologies,Defence & Aerospace,3.9,228,31,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Company Culture"
3331,Multiplier Brand Solutions,Pharma,3.7,228,8,Promotions / Appraisal,None
3332,GE Aviation,Aviation,4.2,227,107,"Company Culture, Work Life Balance, Skill Development / Learning",None
3333,HyScaler,IT Services & Consulting,4.6,227,15,"Skill Development / Learning, Company Culture, Work Satisfaction",None
3334,Silver Touch Technologies,IT Services & Consulting,3.5,227,32,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",None
3335,Vaibhav Global,Jewellery,3.4,227,44,"Job Security, Promotions / Appraisal, Skill Development / Learning",None
3336,Munjal Kiriu Industries,Auto Components,3.5,227,68,"Work Satisfaction, Promotions / Appraisal, Company Culture",None
3337,Zydus Hospital,Healthcare,4.3,227,9,"Job Security, Skill Development / Learning, Salary & Benefits",None
3338,Bhilai Engineering Corporation,Industrial Machinery,3.7,227,64,"Promotions / Appraisal, Salary & Benefits",None
3339,Trivium Education Services,EdTech,3.9,227,14,Work Life Balance,"Promotions / Appraisal, Job Security"
3341,Zimetrics Technologies,IT Services & Consulting,4.5,227,9,"Job Security, Company Culture, Skill Development / Learning",None
3342,Ebix Payment Services,Financial Services,3.6,227,39.39854522,"Promotions / Appraisal, Salary & Benefits",None
3343,Dhruv Research,Management Consulting,3.3,227,4,"Job Security, Work Life Balance, Promotions / Appraisal",None
3344,T R Chadha & Co Llp,Accounting & Auditing,3.7,226,78,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",None
3345,Knowledge Splice Services pvt ltd.,BPO,3.6,226,13,"Promotions / Appraisal, Salary & Benefits, Job Security",None
3346,Hamleys,Retail,4,226,264,"Job Security, Skill Development / Learning, Salary & Benefits",None
3347,Four Points By Sheraton,Hospitality,4.4,226,29,"Company Culture, Skill Development / Learning, Job Security",None
3348,Enser Communications,IT Services & Consulting,4,226,16,"Job Security, Company Culture, Skill Development / Learning",None
3349,Global Edge Software,Software Product,3.4,226,19,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",None
3350,New Holland Fiat (India),Auto Components,4.4,226,26,"Work Life Balance, Work Satisfaction, Skill Development / Learning",None
3351,LeadSquared,Software Product,2.9,226,13,"Company Culture, Promotions / Appraisal, Work Satisfaction",None
3352,Machino Plastics,Auto Components,4,226,37,"Promotions / Appraisal, Job Security, Salary & Benefits",None
3353,Thermax Babcock Wilcox Energy Solutions,Industrial Machinery,4.3,226,14,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
3354,TravelTriangle,Internet,3.8,226,14,"Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal, Job Security"
3355,INDIAN PUBLIC SCHOOL,Education & Training,3.8,226,20,"Promotions / Appraisal, Salary & Benefits",None
3356,Grant Thornton Bharat,Accounting & Auditing,3.8,226,89,Job Security,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
3357,Sonalika Group of Companies,Automobile,3.9,226,55,Job Security,None
3358,Ador Welding,Industrial Machinery,4,225,73,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
3359,Kirloskar Electric Company,Electrical Equipment,3.6,225,78,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
3360,NAFFCO,Law Enforcement & Security,3.9,225,33,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits"
3361,Bharat Oman Refineries,Oil & Gas,3.8,225,13,Job Security,"Salary & Benefits, Promotions / Appraisal"
